,cross-validation-7-splits-articles-2023.csv,train-validation-test-60-20-20-articles-2023.csv,cross-validation-5-splits-articles-2023.csv,cross-validation-3-splits-articles-2023.csv,train-test-80-20-articles-2023.csv
31,bert-base-uncased-mask-vector-weighted-average,bert-base-uncased-mask-vector-sum,bert-base-uncased-raw-text-concatenation,bert-base-uncased-raw-text-concatenation,bert-base-uncased-mask-vector-average
32,bigbird-roberta-large-raw-vector-weighted-average,bert-base-uncased-mask-vector-average,bigbird-roberta-large-raw-vector-concatenation,bert-base-uncased-mask-vector-sum,bigbird-roberta-large-raw-vector-concatenation
33,bigbird-roberta-large-raw-vector-concatenation,bert-base-uncased-mask-vector-concatenation,bigbird-roberta-large-raw-vector-sum,bert-base-uncased-mask-vector-average,bert-base-uncased-raw-vector-weighted-average
34,bert-base-uncased-mask-vector-sum,bert-base-uncased-raw-text-concatenation,bigbird-roberta-large-raw-vector-average,bert-base-uncased-mask-vector-concatenation,bert-base-uncased-mask-vector-weighted-average
35,bert-base-uncased-mask-vector-average,bigbird-roberta-large-raw-vector-concatenation,bert-base-uncased-mask-vector-weighted-average,bigbird-roberta-large-raw-vector-concatenation,bert-base-uncased-raw-text-concatenation
36,bigbird-roberta-large-raw-vector-sum,bigbird-roberta-large-raw-vector-sum,bert-base-uncased-mask-vector-sum,bert-base-uncased-mask-vector-weighted-average,bigbird-roberta-large-raw-text-concatenation
37,bigbird-roberta-large-raw-vector-average,bigbird-roberta-large-raw-vector-average,bert-base-uncased-mask-vector-average,bigbird-roberta-large-raw-vector-sum,bigbird-roberta-large-raw-vector-weighted-average
38,bert-base-uncased-mask-vector-concatenation,bert-base-uncased-mask-vector-weighted-average,bert-base-uncased-mask-vector-concatenation,bigbird-roberta-large-raw-vector-average,bert-base-uncased-mask-vector-concatenation
39,bert-base-uncased-mask-text-concatenation,bert-base-uncased-mask-text-concatenation,bert-base-uncased-mask-text-concatenation,bert-base-uncased-mask-text-concatenation,bert-base-uncased-mask-text-concatenation
40,bigbird-roberta-large-mask-text-concatenation,bigbird-roberta-large-mask-text-concatenation,bigbird-roberta-large-mask-text-concatenation,bigbird-roberta-large-mask-text-concatenation,bigbird-roberta-large-mask-vector-concatenation
41,bigbird-roberta-large-mask-vector-concatenation,bigbird-roberta-large-mask-vector-sum,bigbird-roberta-large-mask-vector-concatenation,bigbird-roberta-large-mask-vector-concatenation,bigbird-roberta-large-mask-vector-sum
42,bigbird-roberta-large-mask-vector-weighted-average,bigbird-roberta-large-mask-vector-average,bigbird-roberta-large-mask-vector-sum,bigbird-roberta-large-mask-vector-weighted-average,bigbird-roberta-large-mask-vector-average
43,bigbird-roberta-large-mask-vector-sum,bigbird-roberta-large-mask-vector-weighted-average,bigbird-roberta-large-mask-vector-average,bigbird-roberta-large-mask-vector-sum,bigbird-roberta-large-mask-text-concatenation
44,bigbird-roberta-large-mask-vector-average,bigbird-roberta-large-mask-vector-concatenation,bigbird-roberta-large-mask-vector-weighted-average,bigbird-roberta-large-mask-vector-average,bigbird-roberta-large-mask-vector-weighted-average
